event_id,simulations,score,seed
4,1,38,1970
50,4,40,1970
200,14,44,1970
425,29,45,1970
1109,73,47,1970
1340,88,51,1970
2471,156,43,1971
2486,157,44,1971
2501,158,48,1971
3194,203,50,1971
4259,269,40,1972
4274,270,41,1972
4289,271,45,1972
4394,278,47,1972
5546,347,43,1973
5576,349,46,1973
6077,380,47,1973
6701,420,48,1973
7199,452,53,1973
8204,516,41,1974
8234,518,44,1974
8540,538,56,1974
9712,608,2,1975
9728,609,40,1975
9808,614,47,1975
10156,635,51,1975
11330,700,38,1976
11384,703,42,1976
11496,710,48,1976
12386,760,49,1976
12466,765,54,1976
13632,834,41,1977
13664,836,43,1977
13894,850,45,1977
