id,high_score
1,38
2,37
3,37
4,40
5,38
6,39
7,35
8,39
9,37
10,40
11,40
12,40
13,39
14,44
15,43
16,38
17,42
18,44
19,43
20,41
21,44
22,42
23,37
24,43
25,43
26,41
27,36
28,39
29,45
30,40
31,38
32,40
33,38
34,40
35,40
36,39
37,44
38,38
39,38
40,39
41,44
42,36
43,36
44,44
45,38
46,40
47,39
48,40
49,40
50,39
51,45
52,38
53,39
54,41
55,40
56,37
57,40
58,35
59,39
60,40
61,40
62,38
63,39
64,33
65,39
66,37
67,42
68,42
69,38
70,42
71,43
72,41
73,47
74,37
75,44
76,38
77,35
78,39
79,42
80,45
81,38
82,40
83,32
84,40
85,16
86,39
87,42
88,51
89,41
90,40
91,41
92,39
93,40
94,41
95,2
96,39
97,39
98,38
99,39
100,39
101,40
102,39
103,45
104,39
105,41
106,39
107,40
108,38
109,43
110,44
111,38
112,39
113,43
114,40
115,40
116,43
117,39
118,39
119,39
120,40
121,42
122,40
123,40
124,43
125,42
126,41
127,45
128,48
129,42
130,41
131,37
132,39
133,2
134,40
135,44
136,44
137,33
138,39
139,39
140,42
141,39
142,41
143,42
144,36
145,38
146,40
147,38
148,41
149,37
150,42
151,33
